number_sta,lat,lon,height_sta,dist
1027003,45.832298412517126,5.107701587482869,196.0,0.8915964208335639
1033002,46.08770140410959,5.813064794520548,350.0,0.9040990842710475
1034004,45.76923387345414,5.688467746908294,330.0,0.5823189475367211
1072001,46.203064751815155,5.288467624092425,260.0,1.1045564271875186
1089001,45.97770209766162,5.329234032553874,252.0,0.8828757399004885
1200002,46.09,5.482,596.0,0.9338993521788105
1235001,46.038,5.044,280.0,1.0885311203635801
1235002,46.04796006944444,5.0720399305555555,273.0,1.0791585857458077
1414001,45.916,5.625,878.0,0.7347006193001282
3060001,46.167701371208054,3.3992337904026853,251.0,2.522766875086242
3061001,46.06229842770527,3.2330645702736955,330.0,2.6399161077113185
3108001,46.19076438037826,2.9584712392434773,650.0,2.9417147599872604
3248001,46.050766198630136,3.8061690068493155,1022.0,2.102960111791955
3310001,46.118021757322175,3.438954067875407,279.9395629939563,2.467058041678747
4006005,44.24152926562769,6.62617683593076,1400.0,1.30756640149298
4019001,44.391,6.670000000000001,1155.0,1.2369822149085279
4049001,44.061529740417996,5.99,461.0,1.1574503210603702
4068001,43.91,5.767729648849885,427.0,1.2787479353604247
4070009,44.07,6.187,554.0,1.2100797494380298
4115001,44.03076615978263,6.629134529762313,1090.0,1.4691693836696607
4126001,44.3915324147536,6.33229862213039,1197.0,1.0021915126531298
4134002,44.32770140410958,6.03,665.0,0.9130989399243808
4136001,43.97770147617906,6.52,920.0,1.4485988115289752
4209005,44.223064794520546,5.916935205479453,500.0,0.9840345239304762
4230001,43.84,6.001,600.0,1.3761660510272724
5007003,44.79693520547945,6.728467602739726,1825.0,1.0779085482855646
5046001,44.56693630894981,6.501531845525095,877.0,0.9951260619371523
5055001,44.56770140410959,5.75,825.0,0.6208432556318987
5061009,44.5784675879397,6.080000000000001,885.0,0.7058794240888826
5070003,44.31923380136986,5.793830993150684,565.0,0.8715681703037783
5120002,44.766,6.984,1670.0,1.3287904274188624
5126001,44.38846760273973,5.461532397260274,625.0,0.8415113170698872
5136002,44.70383099315068,6.6,906.0,1.0008974109235456
5145002,44.671,6.21,1210.0,0.7095667692331729
5158001,44.47700123437175,5.817001234371753,801.0,0.7170554192805259
5170001,44.452,6.033,600.0,0.7982336750601332
5181002,45.031,6.362,1665.0,0.6570334846870447
5183001,44.88,6.64,1311.0,0.9663953642272913
6004002,43.56383107614306,7.132298645685836,72.0,2.1497045770670855
6004009,43.59836822276261,7.110766163190282,31.82687719057894,2.1095140621888273
6005001,43.92153239726027,7.013064794520548,1173.0,1.8071049314474303
6023004,43.94,7.513060073428178,305.0,2.1813390259963827
6029001,43.55693505069882,6.950000000000001,4.0,2.0404531038077978
6033002,43.786934550398136,7.210000000000001,78.0,2.04234678594701
6037002,43.751529231936196,6.922293847904288,1268.0,1.8706566797323034
6038001,43.673064612995674,6.990766153248918,388.0,1.974772319487747
6050002,43.79153149709918,7.048468502900822,985.0,1.9246664892314234
6059003,43.73923391352018,7.363315630781881,680.3923456451723,2.1877565931016765
6074005,43.97154252091569,7.30768621862646,550.0,1.9969553919623582
6075007,43.8469347297251,7.21,691.0,2.0016623239541427
6077006,43.929,7.363,1443.0,2.066737041812529
6079002,43.523142790251214,6.899214302437197,104.0,2.0378611791546226
6081001,43.814,6.809,1525.0,1.7507429851351701
6083005,43.78693520547945,7.489233801369863,216.0,2.25367099017217
6088001,43.64923377572698,7.20923377572698,26.0,2.1386259283763684
6088007,43.73923382539302,7.27923382539302,238.0,2.1254824582508203
6090002,43.603,6.937000000000001,109.0,1.9958942857776825
6091003,43.776159385472106,7.428463754188843,1106.0,2.213253399449334
6094002,44.1,6.931,1784.0,1.6249901538163245
6099004,43.95770146237885,6.891532358414102,444.3673755950546,1.6961032691486506
6102001,44.067702955005664,7.132297044994337,1130.0,1.7995460638624468
6118002,43.679,6.809,694.0,1.858576336877235
6120004,44.25846762557077,6.920766187214612,1150.0,1.515348059678779
6125001,44.15381862015665,6.747708827906012,1642.0,1.4551669631858064
6127006,44.06693552880993,7.256169411012401,899.0,1.8985069535313184
6136005,43.863,7.434000000000001,843.0,2.1632672049471857
6152002,43.622298117346006,7.029233960884664,238.0,2.0383959571174923
6163007,44.042298553636456,7.586935261818057,636.0,2.1870435738513843
7005002,44.539551628383485,4.581345114849563,223.0,1.3138285570082082
7010001,45.24600000000001,4.669773059169114,337.1347041544272,1.0558212172397603
7011004,44.71149397530742,4.35149397530742,600.0,1.4528698425481057
7019005,44.60153212614818,4.409233936925911,180.0,1.4396368874378078
7025001,44.66700319606186,4.16,480.0,1.6484943644774028
7032002,44.628,4.566,650.0,1.2862985656526262
7064001,44.90815803954699,4.421736391451274,448.1737144944744,1.331991752594788
7066001,44.69977094972067,4.648590805400372,188.62006517690875,1.1810472223268964
7066800,44.698,4.649,212.0,1.18140805820851
7068001,45.016963709724855,4.670759072568787,566.0,1.0670378923952264
7069001,45.06306312929888,4.698468435350558,407.128455002601,1.0331138425908932
7096001,44.839,4.524,760.0,1.2497203687225407
7101002,44.41076462203421,4.29694151186316,107.0,1.6249894649889383
7105003,44.755,3.9750000000000005,1264.0,1.8018018759008991
7131001,44.53846767839403,4.367701517591038,280.0,1.503807770360195
7154005,44.734,4.084,1240.0,1.7016803460109664
7159001,44.58076829023379,4.497695129298633,275.13194485463504,1.3684129439798103
7161001,44.716934740400646,4.208321078599329,605.4148335960164,1.5871940875582018
7168001,44.288,4.422,230.0,1.582783623872831
7172002,45.28694250546417,4.706942505464167,480.0,1.0218588780154687
7185001,45.14,4.666169721361521,525.0,1.0589187402272013
